pomp,T_buiten,T_aanvoer,max_vermogen,min_vermogen,COP,max_stroom (A),max_opgenomen_vermogen
HPA-O 10.2 Plus HC 400,-15,35,8.98,2.94,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,35,10.07,2.67,3.15,9.7,6.83
HPA-O 10.2 Plus HC 400,2,35,9.84,3.05,4.54,9.7,6.83
HPA-O 10.2 Plus HC 400,7,35,11.97,3.69,5.4,9.7,6.83
HPA-O 10.2 Plus HC 400,15,35,14,4.47,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,35,14,5.07,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-25,45,5.1,3.86,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,45,7.44,3.34,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,45,8.74,2.79,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,45,9.95,2.52,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,2,45,9.82,2.92,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,7,45,11.85,3.44,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,15,45,14,4.24,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,45,14,4.82,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-25,55,4.97,3.66,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,55,7.39,3.39,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,55,8.72,3.13,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,55,10.02,2.76,2.48,9.7,6.83
HPA-O 10.2 Plus HC 400,2,55,9.92,2.7,2.9,9.7,6.83
HPA-O 10.2 Plus HC 400,7,55,11.63,3.26,3.18,9.7,6.83
HPA-O 10.2 Plus HC 400,15,55,14,4.11,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,55,14,4.68,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-25,65,NA,NA,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,65,7.39,3.23,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,65,8.25,3.16,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,65,9.65,2.98,2.02,9.7,6.83
HPA-O 10.2 Plus HC 400,2,65,10.07,3.18,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,7,65,11.4,3.83,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,15,65,14,4.78,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,65,14,5.45,NA,9.7,6.83
